Cid,RoomName,StatusStart,StatusEnd,RoomHadPeople,RoomStatus,AccountCid,TimeStamp,MessageId
d9f7e767-d038-400c-b24f-2fbd08b37bff,Pax,2017-01-02T08:00:00.123456Z,2017-01-02T09:45:00.123456Z,True,Occupied,88066778efa9,2017-01-02T09:45:00.123456Z,MessageIdData
6b0fc80e-1c83-4c31-9419-6e09c7865dd3,Venus,2017-01-02T10:25:00.123456Z,2017-01-02T10:35:00.123456Z,True,Offline,118615748df9,2017-01-02T10:35:00.123456Z,MessageIdData
27515eb0-e2fa-4bb3-9238-0626990fd32d,Venus,2017-01-02T11:15:00.123456Z,2017-01-02T12:00:00.123456Z,True,Occupied,febda3b8e823,2017-01-02T12:00:00.123456Z,MessageIdData
4d3c151b-a8c6-4955-be6a-36b9f4eb5ece,Elissa,2017-01-02T12:40:00.123456Z,2017-01-02T14:10:00.123456Z,False,Occupied,280f1654a3dc,2017-01-02T14:10:00.123456Z,MessageIdData
d28c7aac-1f36-405f-bd3b-3b8f5a6e6413,Luna,2017-01-02T14:50:00.123456Z,2017-01-02T15:10:00.123456Z,True,Offline,280f1654a3dc,2017-01-02T15:10:00.123456Z,MessageIdData
e7d43c6f-7ffb-49db-aa93-b318b544794f,Vesta,2017-01-02T15:50:00.123456Z,2017-01-02T17:35:00.123456Z,True,N/A,fad18082a2fd,2017-01-02T17:35:00.123456Z,MessageIdData
748ac370-f2ec-4fa8-9b9f-cf71725c0725,Vesta,2017-01-02T17:45:00.123456Z,2017-01-02T17:55:00.123456Z,False,N/A,a8d9c40ef511,2017-01-02T17:55:00.123456Z,MessageIdData
80ce6310-d779-455c-b961-baa5f31c1394,Vesta,2017-01-02T18:40:00.123456Z,2017-01-02T18:50:00.123456Z,True,N/A,ef5ade4437d8,2017-01-02T18:50:00.123456Z,MessageIdData
4b386220-2032-47bd-9b83-a30e4e7e6223,Vesta,2017-01-02T19:40:00.123456Z,2017-01-02T21:10:00.123456Z,True,Offline,88066778efa9,2017-01-02T21:10:00.123456Z,MessageIdData
fa855862-95ac-409f-aa87-92ec61689198,Venus,2017-01-02T08:00:00.123456Z,2017-01-02T09:20:00.123456Z,True,UnOccupied,fad18082a2fd,2017-01-02T09:20:00.123456Z,MessageIdData
4280e696-f4c4-4659-baaa-e45a3f9c0d4f,Venus,2017-01-02T10:05:00.123456Z,2017-01-02T11:55:00.123456Z,True,Occupied,45f0bb6f8f16,2017-01-02T11:55:00.123456Z,MessageIdData
3a50c8b6-79b5-4170-914f-cbe24d6d6d0c,Pax,2017-01-02T12:25:00.123456Z,2017-01-02T12:45:00.123456Z,True,N/A,743997192c71,2017-01-02T12:45:00.123456Z,MessageIdData
c675541e-d359-4c03-bd42-ebd1d2e858c7,Vesta,2017-01-02T13:15:00.123456Z,2017-01-02T15:00:00.123456Z,True,Offline,45f0bb6f8f16,2017-01-02T15:00:00.123456Z,MessageIdData
1c9d8da3-36c2-40ab-bc93-6f9c2a5a97a6,Vesta,2017-01-02T15:30:00.123456Z,2017-01-02T17:20:00.123456Z,True,UnOccupied,247263c670b8,2017-01-02T17:20:00.123456Z,MessageIdData
85239c14-48e6-4b00-b615-a2779950bea9,Gemini,2017-01-02T17:30:00.123456Z,2017-01-02T19:20:00.123456Z,True,Offline,ab516b7308fd,2017-01-02T19:20:00.123456Z,MessageIdData
a6641f54-eab4-4e56-8777-71ef03603449,Saturn,2017-01-03T08:00:00.123456Z,2017-01-03T09:40:00.123456Z,True,UnOccupied,20f8aecfc69b,2017-01-03T09:40:00.123456Z,MessageIdData
281942fc-0589-46c1-ac71-7d2d588a3ad5,Saturn,2017-01-03T10:00:00.123456Z,2017-01-03T11:50:00.123456Z,True,Occupied,a8d9c40ef511,2017-01-03T11:50:00.123456Z,MessageIdData
a3bbed64-7247-4927-9d98-8d11515d5acb,Iovis,2017-01-03T12:30:00.123456Z,2017-01-03T12:50:00.123456Z,True,Occupied,febda3b8e823,2017-01-03T12:50:00.123456Z,MessageIdData
566eac88-0e3e-4e3d-ae14-5ed48e8b00be,Vesta,2017-01-03T13:00:00.123456Z,2017-01-03T13:30:00.123456Z,True,N/A,20f8aecfc69b,2017-01-03T13:30:00.123456Z,MessageIdData
d851e7df-0b19-4b96-9a15-39aeb983ff1c,Ceres,2017-01-03T14:15:00.123456Z,2017-01-03T14:35:00.123456Z,True,Occupied,fad18082a2fd,2017-01-03T14:35:00.123456Z,MessageIdData
1c4976c9-7d99-4982-9e2b-3758abc992c2,Gemini,2017-01-03T15:20:00.123456Z,2017-01-03T16:40:00.123456Z,True,Offline,88066778efa9,2017-01-03T16:40:00.123456Z,MessageIdData
b4c2cdc8-0923-444c-a8c8-1f07fbea78e4,Luna,2017-01-03T17:30:00.123456Z,2017-01-03T18:10:00.123456Z,True,Offline,88066778efa9,2017-01-03T18:10:00.123456Z,MessageIdData
4cd4cc4a-a46b-4ab6-a804-a921e6565585,Iovis,2017-01-03T18:40:00.123456Z,2017-01-03T20:25:00.123456Z,True,N/A,fad18082a2fd,2017-01-03T20:25:00.123456Z,MessageIdData
ef3e3585-d955-490b-a755-67d0eaf4b400,Pax,2017-01-04T08:00:00.123456Z,2017-01-04T09:30:00.123456Z,True,UnOccupied,fad18082a2fd,2017-01-04T09:30:00.123456Z,MessageIdData
5222d18e-c8cd-4f74-ac72-4c60b3e33615,Vesta,2017-01-04T09:40:00.123456Z,2017-01-04T11:10:00.123456Z,False,UnOccupied,280f1654a3dc,2017-01-04T11:10:00.123456Z,MessageIdData
