Cid,TimeStamp,Value,MessageId
aa46788c-0db2-4325-8994-3ad939d421bc,2017-01-02 08:00:00.123456,Occupied,
d01a5fc3-9055-4435-bc75-a9bcddb7b780,2017-01-02 09:45:00.123456,UnOccupied,
510bf91f-216a-44ad-b385-94571067b2d1,2017-01-02 10:35:00.123456,Offline,
c3d46dd1-75b8-42ea-ad62-53bd3c4ec073,2017-01-02 11:45:00.123456,Offline,
7db2182a-de88-46df-af0e-395ca125fd04,2017-01-02 12:15:00.123456,Offline,
6a1a8c00-f1c7-4b75-aab4-9a0bc78206e8,2017-01-02 12:55:00.123456,Offline,
d57c1147-854a-4592-a0df-abcc2eb873b0,2017-01-02 13:45:00.123456,Offline,
91863cb3-1f7a-4ae0-933f-5c918867b41c,2017-01-02 14:30:00.123456,N/A,
7483e494-d5db-4be5-8dd9-c93883bc47dc,2017-01-02 15:00:00.123456,Offline,
2dc3b5a6-7b86-4bc6-ba74-d31a0208261a,2017-01-02 15:30:00.123456,N/A,
712aa273-b0f8-4540-ae52-69e6d2ee5771,2017-01-02 15:50:00.123456,Offline,
6942a173-f5f2-4c6f-84a9-44e6358e95a4,2017-01-02 17:30:00.123456,Occupied,
2bf85fac-9934-48b2-8a45-50ed1550fb86,2017-01-02 18:00:00.123456,Offline,
39ffd273-2114-467d-9635-9d2f4e8c031a,2017-01-02 19:40:00.123456,N/A,
650c7ec2-963d-4b68-a266-2c370b875392,2017-01-02 19:50:00.123456,UnOccupied,
b57703fc-88a7-4dba-8991-a96f20d36c97,2017-01-02 21:30:00.123456,N/A,
b38f2e14-ed54-4821-afa3-79f1f184344c,2017-01-02 08:00:00.123456,N/A,
1ec7106b-475a-4907-8a04-5ae8f543a483,2017-01-02 08:40:00.123456,N/A,
ce181866-0ed9-47b6-873f-442701403c54,2017-01-02 09:20:00.123456,Occupied,
399a4871-8a10-4e07-b6d6-1cde380ba26d,2017-01-02 10:30:00.123456,Offline,
8cc42982-bc3b-47c8-9c87-e9f9b4cec93b,2017-01-02 11:15:00.123456,UnOccupied,
e92a2b77-5e55-40ca-be39-d01197ea1ac1,2017-01-02 12:00:00.123456,N/A,
7cdfe46c-8466-4ab3-a0a9-81b2f56754a1,2017-01-02 12:10:00.123456,Occupied,
cd92ef77-2bd6-4aa9-b7af-5ff614ba0747,2017-01-02 13:55:00.123456,Occupied,
3be1d95a-64f1-4004-8baf-c55a69866901,2017-01-02 14:25:00.123456,Occupied,
f8c6983e-6223-4223-834b-6efab79e75f0,2017-01-02 15:35:00.123456,UnOccupied,
cc7c27f5-b1d6-4507-9bc3-a71fda10d025,2017-01-02 16:20:00.123456,UnOccupied,
1df7e9dd-a607-46d4-bcbd-fa3d5671e64d,2017-01-02 18:10:00.123456,UnOccupied,
227b7b36-8c8a-4e4d-9380-b93714cdadf0,2017-01-02 18:50:00.123456,N/A,
db5553a8-5e7f-4a5b-b981-2e296a8155d5,2017-01-02 20:40:00.123456,Occupied,
9b9b8166-7e52-447e-816b-040fe4c095a4,2017-01-03 08:00:00.123456,Occupied,
17961938-6c35-4d0c-96bb-44453d9af855,2017-01-03 09:50:00.123456,Offline,
46b4cd3c-5b30-4492-923e-5d1e113783e8,2017-01-03 10:10:00.123456,Occupied,
aa4a20ac-13ea-494a-abf7-15e99bf8bfed,2017-01-03 10:40:00.123456,UnOccupied,
ad971232-784e-4f77-b81f-69ab793a00d3,2017-01-03 11:25:00.123456,UnOccupied,
43a6aa8b-9fe2-47f3-ace1-198058c61770,2017-01-03 12:55:00.123456,Offline,
4b204c29-358d-446e-83a7-81c4c4e1241c,2017-01-03 13:40:00.123456,Occupied,
c6d60586-25be-469e-9064-516fad45c3e1,2017-01-03 15:10:00.123456,Occupied,
7de4bc0a-04cc-4280-bb37-8ac7a55004ac,2017-01-03 15:30:00.123456,Occupied,
a5290fc1-d83b-4159-a19f-e55be6732217,2017-01-03 15:50:00.123456,N/A,
70f6a971-2abf-4f3e-af11-65e179a17a7c,2017-01-03 16:30:00.123456,N/A,
5b0c28f5-ca33-436d-b5cc-8b210f92ea47,2017-01-03 18:10:00.123456,UnOccupied,
d683f67c-2c8d-4878-a258-caaf50a6fa8e,2017-01-03 18:50:00.123456,Offline,
023c0f5b-2535-44ab-b495-729500c52c9f,2017-01-03 20:10:00.123456,Occupied,
4e4abe65-a3ca-4393-91bb-04ddcf1810db,2017-01-04 08:00:00.123456,N/A,
a93192b6-ce77-4b0e-ba4d-4629f30d396b,2017-01-04 08:50:00.123456,Occupied,
22ee768c-e169-49d1-a300-68423f47be49,2017-01-04 09:40:00.123456,Offline,
7ded151a-5a59-44a1-9f5c-d2ae30888905,2017-01-04 11:10:00.123456,N/A,
e7e46af1-f350-4280-9745-adb91fbea224,2017-01-04 11:55:00.123456,Offline,
11dd879c-0994-429d-85da-d7c5934ec453,2017-01-04 12:35:00.123456,Occupied,
6a0d96f4-0f54-4998-8c10-16b9f64e3aa9,2017-01-04 12:55:00.123456,Occupied,
83a2c9c0-f748-4846-b558-0a36e6f7dcff,2017-01-04 14:05:00.123456,UnOccupied,
404de158-ab47-498e-b3a0-5343b3f50e0d,2017-01-04 14:55:00.123456,UnOccupied,
54c6c3e2-2a2c-4e1c-8279-a91d2f5f3877,2017-01-04 16:15:00.123456,Offline,
da7ed30c-a14c-4aac-8c05-0ae7b80d25b4,2017-01-04 17:05:00.123456,UnOccupied,
ad1de9d6-3072-496a-a2c7-b42471e89f62,2017-01-04 18:35:00.123456,Offline,
caf957b1-d269-4492-baa8-eb84b41c66b5,2017-01-04 18:45:00.123456,Offline,
5b4acd1a-065a-4995-b914-2673d23753fa,2017-01-04 20:30:00.123456,N/A,
39eafd96-fef2-4f40-ba75-7f4fcd9c33ad,2017-01-05 08:00:00.123456,Offline,
e5f70c27-a2bd-4a8b-9be5-7f3abc3f1a05,2017-01-05 09:50:00.123456,N/A,
cbdecd5a-91aa-476f-8b72-f0f35bc6b08f,2017-01-05 10:40:00.123456,UnOccupied,
305e29cf-cd92-42e8-ba96-82035b90ab85,2017-01-05 12:30:00.123456,N/A,
bc94f99d-cd94-4e84-b2dc-44bbea15584c,2017-01-05 13:00:00.123456,Occupied,
ef2ad9d7-29e0-43da-b4a3-250e3e988013,2017-01-05 14:40:00.123456,N/A,
1c63da7c-8858-4d11-a286-8b3661a52f91,2017-01-05 15:00:00.123456,UnOccupied,
85bb3337-62e1-4708-ac5d-d77ab11b48f8,2017-01-05 15:10:00.123456,N/A,
11d448dc-1140-4870-8ba2-c1bee98a802c,2017-01-05 15:20:00.123456,UnOccupied,
aca41520-95de-4903-b3c5-e858aaf0013d,2017-01-05 16:30:00.123456,N/A,
3387e2bb-b708-4555-a412-baa6dfddd42c,2017-01-05 17:20:00.123456,Offline,
bc640f69-ed83-4b14-88ad-62360919fda9,2017-01-05 18:05:00.123456,Offline,
c626c1e9-3bfb-4e4e-a9bf-9510d3354e5c,2017-01-05 18:35:00.123456,UnOccupied,
cd0e9fe3-a6fa-4210-b9e1-fef935c7c246,2017-01-05 20:15:00.123456,N/A,
e877ab1c-4eee-4a51-9a7d-b47987792409,2017-01-06 08:00:00.123456,N/A,
fc8f9aa9-5dc6-44ff-9a61-129142d4cf15,2017-01-06 08:20:00.123456,UnOccupied,
becb2d90-4635-48e4-8414-6d17a20ef0b3,2017-01-06 08:30:00.123456,Occupied,
3e87dbbc-e35d-4ff5-8f0f-ce42d2472605,2017-01-06 08:50:00.123456,Occupied,
10338d3b-107e-4fa7-aabc-7aef9219e586,2017-01-06 09:40:00.123456,UnOccupied,
7ae9d9ee-d7d2-4694-8d52-be5ae3ad11f2,2017-01-06 09:50:00.123456,UnOccupied,
f90678c9-a66c-436d-b7ee-a1aa9bb53ea0,2017-01-06 10:20:00.123456,N/A,
ece12bf4-0bd1-4f20-a373-86140564d0ea,2017-01-06 10:30:00.123456,Offline,
fb3ac4d0-573d-4d6a-b9d0-de8f02b3d67c,2017-01-06 10:50:00.123456,Offline,
ae5590ec-2b53-4990-b51d-21411a162146,2017-01-06 12:40:00.123456,UnOccupied,
77782a78-029b-4acf-95ba-ed9f03bae3c0,2017-01-06 13:25:00.123456,N/A,
febef9a6-747f-4616-859e-9790d8863d9c,2017-01-06 15:05:00.123456,Occupied,
0915acf0-3736-44b5-859c-6f4522317294,2017-01-06 15:55:00.123456,Offline,
288764ce-72ed-475a-a0b6-cc3491db2845,2017-01-06 17:45:00.123456,UnOccupied,
3b995773-9ad9-4f33-8742-0f1e35f50760,2017-01-06 18:15:00.123456,N/A,
acf52318-4ed4-4251-b976-72143cd6f9e5,2017-01-06 18:45:00.123456,Occupied,
e97d93ec-717e-45bf-bab8-43cab485f5bb,2017-01-06 19:30:00.123456,UnOccupied,
47789af4-cc9d-4d68-80cf-5ffe7f24af9e,2017-01-06 19:50:00.123456,UnOccupied,
c70534ff-81e1-42a9-8aee-9b654c0bafc2,2017-01-09 08:00:00.123456,Occupied,
dcb4641c-5b28-4b14-86bb-717ba08c1954,2017-01-09 09:30:00.123456,N/A,
19b01ad9-50a1-4a3f-88e5-0ef04a8b1e5e,2017-01-09 10:20:00.123456,N/A,
7584581e-babc-4cef-996d-764717509da4,2017-01-09 11:40:00.123456,UnOccupied,
5edd3b9a-b243-469c-9102-e05212c5e41c,2017-01-09 12:00:00.123456,Offline,
7d6675f7-99ea-4e1b-afbf-b86d767a9a64,2017-01-09 12:20:00.123456,Occupied,
169ef9be-4d16-46c8-97a7-1a263651388e,2017-01-09 12:40:00.123456,UnOccupied,
691e8afb-7d31-420d-8a6e-9a824eab544f,2017-01-09 13:20:00.123456,Offline,
01a14ff4-43c5-405c-818b-d7bdec430460,2017-01-09 13:40:00.123456,Offline,
723f07dc-aff2-4aea-b531-1dd101fcc9a0,2017-01-09 14:20:00.123456,N/A,
6b1aa49b-49b9-48e6-8e3a-fe2cb054cd6b,2017-01-09 15:10:00.123456,Offline,
93d7a2ad-83ec-4454-8f4b-ae51b723627a,2017-01-09 15:40:00.123456,UnOccupied,
a9c8b261-b2d2-4aa9-9863-5b0a97bd44ad,2017-01-09 16:20:00.123456,UnOccupied,
acfa8e31-effe-4c86-9abc-08c4d24d0bf2,2017-01-09 17:40:00.123456,Occupied,
238213ae-332e-43ad-aa9a-99465cf6f160,2017-01-09 18:25:00.123456,N/A,
08fdee3b-5b7b-4f90-aa58-d83f5636329a,2017-01-09 20:05:00.123456,UnOccupied,
56198fb1-131a-49eb-871c-89d8c8b0426e,2017-01-09 08:00:00.123456,N/A,
3ba66281-8ade-4fae-bc5a-35543506ae4c,2017-01-09 08:45:00.123456,Occupied,
9a33d3d0-54be-4cf7-9f89-08b2cce89ad7,2017-01-09 09:15:00.123456,N/A,
c3c6ea8a-96a4-4766-ab62-b0b900ec5198,2017-01-09 10:05:00.123456,N/A,
781ca132-8e6c-4cab-a3cb-47513c87d426,2017-01-09 10:35:00.123456,Occupied,
df06e591-ba46-48d9-a361-1b23a59c14c3,2017-01-09 10:55:00.123456,UnOccupied,
e7e69b65-b32a-496b-90b1-2bda0427fcf0,2017-01-09 11:15:00.123456,Offline,
78e5b5e6-de81-48a5-96fe-e32235635723,2017-01-09 11:35:00.123456,N/A,
1310b032-488a-4581-95e9-7c770928696b,2017-01-09 12:05:00.123456,Offline,
698eddf8-84e2-4b1a-a391-a5028aca9e83,2017-01-09 12:50:00.123456,N/A,
0eb07985-f5a5-4cc7-9df7-e94bf89653a5,2017-01-09 13:00:00.123456,UnOccupied,
7ef57dff-5b0c-4e0a-b69a-53a751dd9eb6,2017-01-09 14:30:00.123456,N/A,
172617ed-a585-4501-8da1-c30f5287ab42,2017-01-09 15:20:00.123456,UnOccupied,
7b384222-5cf4-4c04-904c-ce55adf92021,2017-01-09 16:40:00.123456,Occupied,
78ed64d8-5a09-4ccf-841f-bfb8d45bb267,2017-01-09 16:50:00.123456,Occupied,
24236908-d898-4bd6-8fcc-fcb1e86a86ae,2017-01-09 17:30:00.123456,UnOccupied,
22f728c3-1db0-4cc3-a9fa-ee119b641a36,2017-01-09 18:10:00.123456,UnOccupied,
837861f2-55ca-4524-81c3-ae0060d33b25,2017-01-09 18:50:00.123456,N/A,
7e296ec2-f7ef-4c2b-bf81-755e104421f9,2017-01-09 19:35:00.123456,Offline,
d69ad89b-1be6-4159-bca5-940bde62aa31,2017-01-09 20:55:00.123456,UnOccupied,
d194a10d-9220-4812-9495-3175586d2dd7,2017-01-09 08:00:00.123456,N/A,
4409bcc3-c04f-46ab-be87-58a2f8a910b1,2017-01-09 09:45:00.123456,N/A,
d94b3b38-8034-4a82-8af7-80f7e2934f07,2017-01-09 10:30:00.123456,Occupied,
6fe522c2-8020-4477-ad9d-8c9e96c2aace,2017-01-09 10:50:00.123456,Offline,
a58f990b-bd6a-4fd8-a9ac-063463b0737f,2017-01-09 11:35:00.123456,N/A,
f966d0ad-87db-431e-ad9b-9ecfb14ca73d,2017-01-09 13:25:00.123456,UnOccupied,
4418aa7f-3393-429a-a1b9-a2810ce4ea6d,2017-01-09 13:55:00.123456,N/A,
e5469974-941b-40f0-a080-4d769e3e4037,2017-01-09 14:25:00.123456,Offline,
