Cid,TimeStamp,Value,MessageId
X9.F4.C5.B5.93.00,2022-01-03T08:00:00.123456Z,UnOccupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T09:50:00.123456Z,UnOccupied,MessageIdData
D1.9C.FB.97.D9.47,2022-01-03T10:00:00.123456Z,Offline,MessageIdData
D1.9C.FB.97.D9.47,2022-01-03T11:20:00.123456Z,N/A,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T12:00:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T12:50:00.123456Z,Offline,MessageIdData
X0.E0.81.66.05.77,2022-01-03T13:30:00.123456Z,Occupied,MessageIdData
X0.E0.81.66.05.77,2022-01-03T13:40:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T14:10:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T15:00:00.123456Z,N/A,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-03T15:40:00.123456Z,UnOccupied,MessageIdData
XA.53.D4.E2.EC.E2,2022-01-03T17:10:00.123456Z,UnOccupied,MessageIdData
EC.64.40.67.09.2D,2022-01-03T17:20:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-03T19:00:00.123456Z,Occupied,MessageIdData
EC.64.40.67.09.2D,2022-01-03T19:40:00.123456Z,N/A,MessageIdData
EC.64.40.67.09.2D,2022-01-03T21:25:00.123456Z,Offline,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-03T08:00:00.123456Z,N/A,MessageIdData
XB.C1.2A.ED.D8.97,2022-01-03T08:10:00.123456Z,UnOccupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-03T08:40:00.123456Z,Occupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-03T10:00:00.123456Z,N/A,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-03T10:10:00.123456Z,UnOccupied,MessageIdData
BF.7D.D9.24.C2.A0,2022-01-03T11:40:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T12:25:00.123456Z,Offline,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T14:05:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-03T14:15:00.123456Z,N/A,MessageIdData
D1.9C.FB.97.D9.47,2022-01-03T15:25:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T16:10:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T16:55:00.123456Z,UnOccupied,MessageIdData
EC.64.40.67.09.2D,2022-01-03T17:15:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-03T17:45:00.123456Z,UnOccupied,MessageIdData
XA.6F.2A.5D.84.96,2022-01-03T17:55:00.123456Z,N/A,MessageIdData
XA.6F.2A.5D.84.96,2022-01-03T18:25:00.123456Z,Occupied,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T18:55:00.123456Z,N/A,MessageIdData
X9.F4.C5.B5.93.00,2022-01-03T20:35:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T08:00:00.123456Z,Offline,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T08:45:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-03T09:30:00.123456Z,N/A,MessageIdData
X9.B1.A6.D9.5A.48,2022-01-03T10:50:00.123456Z,Occupied,MessageIdData
EC.64.40.67.09.2D,2022-01-03T11:20:00.123456Z,Offline,MessageIdData
EC.64.40.67.09.2D,2022-01-03T12:50:00.123456Z,UnOccupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T13:10:00.123456Z,Occupied,MessageIdData
XE.D3.F5.6D.15.C6,2022-01-03T14:30:00.123456Z,Offline,MessageIdData
